sepal_length,sepal_width,petal_length,petal_width,species
5.62,2.6,6.47,1.07,versicolor
6.09,3.05,1.74,1.16,virginica
6.98,3.03,4.11,1.22,versicolor
5.39,2.57,6.05,1.28,versicolor
5.15,3.38,4.6,-0.25,versicolor
5.4,3.93,3.96,1.21,setosa
6.53,2.99,2.25,-0.14,setosa
6.06,3.2,1.63,1.64,setosa
5.38,3.03,4.86,0.87,setosa
6.21,2.71,5.96,-0.09,versicolor
5.88,2.27,3.04,0.71,setosa
6.57,2.72,1.99,0.86,virginica
5.24,2.44,0.01,1.91,virginica
5.54,3.68,2.23,1.32,setosa
5.49,2.95,3.53,1.41,virginica
4.63,2.86,6.1,1.91,virginica
6.04,3.36,4.71,1.14,setosa
6.01,2.55,4.16,1.65,versicolor
5.8,2.69,3.1,1.61,versicolor
5.61,3.03,2.83,0.43,versicolor
4.67,3.41,5.81,2.08,setosa
5.46,3.2,4.0,0.35,versicolor
5.53,3.1,0.55,1.75,versicolor
5.16,3.03,2.69,0.29,virginica
5.67,3.16,2.41,1.56,versicolor
6.12,3.08,2.88,2.32,setosa
7.31,2.59,4.54,1.07,versicolor
5.94,3.02,3.54,1.05,virginica
6.01,2.57,3.58,1.57,virginica
5.74,3.03,5.67,1.0,virginica
4.26,2.81,2.66,2.29,virginica
5.78,4.02,6.5,1.32,versicolor
5.85,2.98,2.69,1.01,virginica
7.77,2.44,3.83,0.88,virginica
5.65,2.95,3.28,0.64,virginica
6.04,3.21,3.89,0.82,versicolor
5.77,3.67,4.37,0.99,setosa
4.87,2.76,4.35,0.91,virginica
6.71,2.37,2.57,0.81,virginica
6.4,3.33,2.02,2.46,virginica
6.43,2.45,7.45,0.58,versicolor
5.07,2.83,2.97,1.29,versicolor
6.92,2.9,4.75,1.56,virginica
4.68,2.97,1.29,1.58,setosa
6.27,3.28,3.28,1.16,virginica
7.55,2.73,3.51,1.06,setosa
5.01,2.89,4.41,1.47,setosa
5.35,2.99,-0.38,1.36,versicolor
5.88,3.06,3.95,1.04,versicolor
5.4,3.04,1.98,0.26,versicolor
4.56,3.17,4.19,0.92,setosa
5.85,3.34,2.15,0.51,setosa
4.95,3.16,2.42,0.8,setosa
6.18,3.18,3.29,1.22,versicolor
5.06,2.37,2.12,1.42,versicolor
7.04,3.02,2.99,2.27,versicolor
5.17,3.19,1.91,0.88,virginica
5.54,3.29,0.95,1.66,setosa
6.45,2.72,5.23,1.38,setosa
4.82,2.74,1.76,1.98,virginica
5.98,2.77,3.43,1.55,setosa
6.85,3.21,4.83,0.59,setosa
4.51,3.41,2.78,0.17,virginica
5.95,2.84,2.46,1.39,setosa
6.01,3.36,4.04,0.88,versicolor
6.43,3.05,5.38,0.61,virginica
4.81,2.95,1.95,0.44,setosa
4.74,2.92,3.47,1.3,versicolor
6.22,3.3,1.1,2.1,setosa
6.04,3.13,3.11,0.95,virginica
6.0,3.91,3.75,1.55,versicolor
6.08,2.66,2.42,1.14,setosa
5.26,3.21,3.01,0.43,virginica
5.99,2.79,1.59,1.64,setosa
6.03,2.65,3.82,0.54,setosa
5.23,3.0,5.28,1.21,versicolor
7.29,3.05,2.05,1.0,setosa
6.18,4.17,2.77,1.74,virginica
4.85,2.93,4.45,0.57,virginica
6.33,2.55,5.52,1.43,versicolor
5.02,3.11,1.46,0.7,versicolor
6.43,2.17,3.45,0.89,setosa
6.73,2.96,4.12,-0.98,virginica
5.14,3.01,3.55,2.46,versicolor
6.57,3.32,-0.02,1.53,setosa
6.13,3.39,4.45,0.74,setosa
6.46,2.8,5.98,0.53,virginica
7.32,2.94,3.87,0.9,virginica
5.6,2.69,2.15,1.63,setosa
5.2,2.55,2.93,0.06,virginica
5.09,3.12,6.35,1.12,setosa
5.15,2.49,5.06,2.26,setosa
5.74,2.83,4.66,0.52,virginica
6.07,2.6,4.23,1.25,versicolor
6.02,3.22,2.71,2.52,setosa
6.46,3.72,3.4,1.58,virginica
5.81,2.48,3.58,1.28,setosa
6.96,2.26,4.52,1.5,setosa
5.59,2.95,5.96,0.96,setosa
7.98,3.01,5.38,1.98,virginica
6.3,3.09,1.57,0.96,virginica
5.11,2.82,4.04,0.02,virginica
4.94,2.92,4.81,0.97,versicolor
6.19,3.15,4.63,0.62,setosa
5.62,3.42,2.76,1.03,versicolor
6.37,2.22,8.07,1.04,setosa
6.18,2.85,1.78,1.92,virginica
5.74,3.09,2.08,1.62,setosa
5.12,2.63,4.05,1.36,setosa
4.59,3.69,6.88,1.2,setosa
5.44,2.75,2.45,0.56,versicolor
6.49,2.98,3.3,-0.11,virginica
5.97,3.22,5.32,1.27,virginica
4.8,2.76,3.67,1.68,setosa
5.94,2.26,3.2,1.13,virginica
6.11,2.83,4.55,0.88,versicolor
5.09,3.41,4.11,1.48,versicolor
5.92,2.87,5.25,1.15,virginica
5.85,2.66,5.64,2.21,versicolor
4.89,3.37,4.16,1.94,versicolor
6.09,2.87,4.14,1.78,virginica
6.25,2.8,4.02,1.65,virginica
6.67,3.06,4.43,0.43,setosa
6.64,3.31,3.78,1.6,setosa
4.7,3.95,3.7,1.43,versicolor
5.05,3.33,5.49,1.56,virginica
6.21,3.46,5.97,1.5,versicolor
6.21,2.8,1.44,1.47,virginica
6.21,2.59,3.72,2.82,versicolor
8.88,3.02,2.67,1.15,versicolor
6.26,3.04,3.23,1.76,versicolor
6.71,2.57,4.3,0.92,setosa
6.56,2.93,4.7,1.67,virginica
6.32,3.16,3.53,1.76,versicolor
5.55,3.14,0.83,1.42,setosa
6.41,3.2,2.25,2.2,versicolor
5.18,3.12,5.04,0.67,versicolor
5.61,2.8,-0.41,0.91,virginica
5.41,2.79,5.48,1.33,versicolor
5.87,2.52,4.48,1.73,virginica
7.65,3.71,5.67,1.31,setosa
4.31,3.01,3.4,1.97,setosa
6.35,2.91,0.61,0.8,versicolor
4.51,2.63,4.35,0.52,setosa
5.42,4.17,5.61,1.38,virginica
6.67,2.57,5.09,1.15,virginica
5.85,2.83,2.71,1.53,setosa
4.94,3.17,3.83,1.18,virginica
5.23,3.24,2.9,1.0,virginica
6.34,3.38,2.47,1.16,versicolor
5.22,3.72,5.13,1.22,versicolor
5.97,3.2,1.9,1.02,virginica
5.84,2.58,2.36,1.08,setosa
5.28,2.9,2.04,0.96,virginica
7.52,3.12,1.46,1.71,versicolor
6.31,3.83,3.92,1.32,setosa
4.18,2.44,5.44,2.55,virginica
5.95,3.48,3.42,1.3,setosa
5.27,3.07,1.44,0.87,setosa
6.48,3.34,4.96,2.8,setosa
5.17,2.96,6.23,1.45,virginica
5.71,2.66,2.73,1.79,versicolor
6.2,3.3,2.98,1.56,setosa
6.49,3.26,4.47,1.57,setosa
4.84,3.39,6.13,1.52,virginica
5.53,2.99,2.92,0.54,versicolor
5.42,2.76,1.7,1.42,versicolor
5.28,2.38,4.65,0.41,virginica
7.21,3.33,4.9,1.1,setosa
6.12,3.17,3.71,0.76,virginica
4.79,2.61,2.86,1.41,versicolor
6.53,2.78,5.19,1.4,setosa
7.5,2.81,4.49,1.49,setosa
6.63,2.41,2.55,1.37,versicolor
4.58,2.67,3.77,0.84,setosa
5.41,2.55,1.67,1.04,virginica
6.81,2.84,4.73,1.75,versicolor
5.23,2.7,3.31,1.84,versicolor
6.16,2.35,3.05,0.51,setosa
6.42,3.81,3.65,0.28,versicolor
5.06,3.5,3.76,0.76,virginica
5.75,2.69,5.04,1.83,versicolor
3.21,3.11,4.59,1.93,setosa
4.98,3.17,3.47,0.65,versicolor
5.6,3.48,4.85,1.38,setosa
4.8,2.67,4.3,2.3,setosa
7.11,3.44,3.06,1.45,virginica
4.66,2.78,3.51,2.05,versicolor
5.45,2.47,3.48,1.8,virginica
5.9,3.29,4.46,0.65,virginica
6.95,3.52,3.15,1.09,versicolor
4.65,4.04,3.11,1.22,virginica
6.73,2.52,6.65,1.26,virginica
5.81,3.28,5.11,1.75,setosa
5.01,2.84,2.56,1.45,virginica
6.17,3.31,4.56,-0.56,versicolor
5.96,2.41,3.88,0.41,setosa
5.32,2.49,4.29,-0.11,virginica
5.86,2.69,3.91,1.31,virginica
5.49,3.03,5.48,1.34,versicolor
5.89,2.74,4.22,1.37,virginica
6.33,3.26,3.61,0.62,versicolor
7.07,3.41,5.26,1.6,virginica
4.81,3.24,4.05,1.63,virginica
7.51,3.65,3.88,0.45,versicolor
4.24,3.17,4.17,0.32,setosa
5.68,2.51,3.56,1.2,versicolor
6.27,3.55,3.71,2.28,setosa
6.02,2.76,2.82,2.22,setosa
5.3,3.36,2.57,1.54,versicolor
5.63,3.63,2.2,0.76,versicolor
5.41,3.18,1.61,1.73,virginica
5.33,2.4,2.38,0.93,virginica
6.48,2.63,3.44,0.74,setosa
6.09,3.53,3.85,-0.09,virginica
5.25,2.93,3.29,1.26,versicolor
6.52,3.03,0.17,0.82,setosa
6.05,3.3,6.06,1.26,virginica
6.45,3.28,5.33,-0.18,virginica
6.3,3.11,4.37,1.3,versicolor
5.14,2.92,6.56,-0.26,versicolor
5.35,2.87,2.23,1.85,virginica
6.4,3.34,6.53,1.51,setosa
6.29,3.22,2.25,1.03,setosa
5.78,2.9,4.06,1.54,versicolor
5.89,3.43,1.79,0.61,versicolor
6.82,2.95,3.72,1.24,versicolor
5.33,2.66,4.28,1.68,virginica
6.24,2.7,3.47,-0.66,virginica
5.64,2.61,4.77,0.93,versicolor
5.63,2.89,3.85,1.19,setosa
6.68,3.49,2.92,1.08,versicolor
6.46,2.68,2.85,2.07,versicolor
6.45,3.08,4.92,0.53,setosa
6.84,2.74,2.72,0.83,setosa
5.82,2.9,5.07,0.05,setosa
6.35,2.4,5.53,2.11,setosa
5.55,2.91,1.2,1.05,virginica
6.06,2.92,5.4,0.94,virginica
5.7,3.22,6.79,1.17,versicolor
5.88,3.09,4.08,1.58,virginica
6.28,2.52,4.6,1.41,versicolor
5.15,3.43,5.26,2.79,versicolor
7.47,3.08,3.29,1.47,setosa
5.0,3.08,3.97,0.92,setosa
4.83,3.0,1.73,0.86,virginica
6.73,2.79,3.91,0.96,virginica
6.43,3.09,4.45,0.3,virginica
6.3,3.19,4.47,1.22,virginica
6.3,2.3,5.3,1.67,setosa
5.79,2.78,2.54,0.83,setosa
5.08,2.9,2.9,0.72,virginica
5.86,3.1,6.54,2.11,versicolor
5.26,3.48,3.47,0.34,setosa
6.58,2.69,4.0,-0.04,setosa
5.68,2.8,3.6,0.51,setosa
5.14,2.79,2.47,0.28,setosa
5.54,2.68,6.14,1.43,virginica
6.13,2.86,2.91,0.98,virginica
5.35,3.31,2.01,1.07,versicolor
5.14,2.58,3.02,1.89,setosa
5.99,3.17,0.7,0.79,virginica
6.0,2.32,2.72,1.67,virginica
5.39,2.78,2.25,2.11,setosa
5.42,2.87,4.63,0.93,virginica
5.99,3.67,2.69,1.64,virginica
4.64,2.89,5.03,1.05,virginica
4.67,2.12,5.8,1.75,versicolor
5.23,2.2,4.87,0.26,virginica
5.63,3.01,3.38,0.21,setosa
6.05,3.25,3.91,0.97,setosa
6.98,3.15,1.41,0.67,setosa
6.49,3.07,3.5,0.89,virginica
5.67,3.46,2.41,1.07,versicolor
5.78,2.78,4.74,1.63,virginica
5.0,3.36,7.56,0.96,setosa
5.79,2.35,4.45,0.71,versicolor
5.57,2.64,0.71,0.99,versicolor
6.06,2.28,3.16,0.74,virginica
5.14,2.89,3.88,0.64,setosa
6.22,2.98,3.83,0.23,virginica
7.03,3.05,2.6,1.24,setosa
5.71,3.02,4.07,0.86,versicolor
6.12,2.63,1.84,1.78,virginica
6.35,2.92,2.28,0.33,versicolor
5.48,2.4,4.67,0.87,setosa
5.98,3.55,2.18,2.29,versicolor
5.81,2.88,4.51,0.64,versicolor
5.88,2.8,1.65,1.06,versicolor
5.18,3.64,6.35,0.47,virginica
5.82,2.5,2.54,0.39,setosa
6.2,2.55,3.36,2.13,versicolor
6.96,2.56,4.2,1.3,versicolor
6.57,2.97,2.85,1.28,versicolor
7.52,3.17,3.92,0.18,versicolor
5.19,3.3,4.56,1.42,setosa
6.5,4.03,5.14,1.89,setosa
5.95,2.1,4.89,1.89,virginica
7.55,3.24,3.44,1.6,setosa
5.15,2.78,3.48,0.52,setosa
5.13,2.77,7.22,1.39,versicolor
5.32,2.75,5.12,1.6,virginica
4.1,2.64,2.32,0.12,virginica
5.38,3.67,3.85,0.53,versicolor
5.19,3.34,3.2,1.73,virginica
5.92,3.01,3.5,1.73,setosa
6.07,3.54,1.86,0.27,virginica
7.3,2.39,3.08,1.68,versicolor
6.56,2.47,6.42,1.26,virginica
5.34,2.13,4.57,1.67,virginica
5.08,2.72,-0.04,0.82,virginica
6.19,3.06,5.53,1.59,versicolor
4.74,3.04,5.33,1.71,setosa
7.27,3.06,3.16,0.99,virginica
6.74,2.44,4.78,1.21,setosa
5.42,3.32,2.41,0.81,setosa
4.43,3.1,2.99,2.19,setosa
6.88,3.29,5.95,1.13,virginica
5.71,2.24,3.29,0.65,setosa
6.79,3.12,0.9,0.77,virginica
4.52,2.52,3.61,1.28,virginica
5.32,2.84,3.58,1.65,virginica
5.8,3.21,5.5,0.4,setosa
5.84,3.04,3.72,2.31,virginica
5.44,2.66,3.07,1.39,versicolor
6.3,3.0,5.27,1.48,versicolor
4.95,2.39,3.88,1.14,versicolor
5.69,3.46,2.57,1.21,virginica
5.9,2.92,5.43,1.11,versicolor
6.21,3.45,3.99,1.81,virginica
6.37,2.79,3.7,1.2,virginica
4.9,2.79,3.97,1.66,virginica
4.57,2.69,2.09,0.94,setosa
6.82,3.35,2.91,1.32,versicolor
6.07,2.72,3.71,0.72,virginica
5.2,3.26,3.41,1.93,versicolor
7.04,2.85,5.61,0.7,versicolor
5.89,2.21,4.03,1.01,setosa
6.74,2.77,4.98,1.01,versicolor
5.85,2.53,3.71,0.99,virginica
7.45,3.01,5.28,1.63,virginica
7.2,2.52,4.3,1.01,versicolor
5.6,3.37,3.72,2.04,versicolor
6.58,2.96,3.68,0.71,setosa
6.32,2.93,2.27,1.3,virginica
6.89,3.26,4.46,0.73,versicolor
5.03,3.39,3.64,1.45,versicolor
6.35,2.99,2.95,1.19,virginica
6.65,2.69,5.36,1.11,versicolor
4.39,2.29,1.82,1.91,setosa
4.85,2.73,3.07,0.81,versicolor
4.17,2.75,5.24,1.55,versicolor
5.58,3.04,4.17,0.74,setosa
6.37,2.86,3.63,1.27,setosa
7.0,3.28,4.08,0.48,setosa
5.86,2.75,3.97,0.8,virginica
7.1,2.98,1.43,1.15,versicolor
4.7,3.47,3.18,2.29,versicolor
4.44,3.14,6.12,1.26,setosa
5.76,2.98,2.71,2.19,virginica
6.11,2.76,3.22,1.33,setosa
5.77,2.75,2.89,0.97,versicolor
4.15,2.66,3.57,2.12,virginica
5.73,2.78,2.83,1.46,virginica
4.76,3.3,4.43,0.81,versicolor
6.34,2.91,4.0,1.48,virginica
6.09,2.46,4.86,1.02,virginica
5.05,3.71,2.12,0.01,setosa
5.39,3.13,3.19,1.76,virginica
4.95,2.44,3.36,1.86,setosa
5.75,2.82,4.38,2.3,virginica
6.56,3.04,2.51,1.45,setosa
5.01,3.68,5.07,1.05,setosa
6.2,2.56,5.48,1.7,virginica
5.38,3.39,2.22,1.71,setosa
5.17,3.56,2.96,2.18,versicolor
5.71,2.75,2.9,1.17,versicolor
4.97,2.89,7.65,1.1,virginica
5.36,2.59,3.06,0.77,virginica
4.84,2.92,6.22,1.52,virginica
7.37,2.99,1.8,0.27,versicolor
5.83,3.26,2.22,1.67,virginica
5.24,3.44,2.67,1.55,virginica
5.97,2.7,2.43,1.55,setosa
5.71,2.21,3.3,1.28,virginica
5.62,2.99,2.64,2.12,versicolor
6.29,3.12,2.47,1.72,versicolor
6.41,3.1,5.44,0.84,virginica
5.38,2.87,5.54,0.85,versicolor
5.34,3.05,5.12,0.67,setosa
5.58,3.61,4.49,1.53,setosa
3.96,3.15,3.84,0.6,virginica
4.59,2.85,2.95,1.85,virginica
6.89,2.8,2.27,1.99,setosa
7.12,2.93,4.24,0.67,setosa
5.6,3.65,1.94,1.09,virginica
6.26,2.93,2.21,1.21,versicolor
6.05,2.99,5.43,1.73,virginica
8.26,2.81,6.55,2.17,virginica
6.7,3.44,4.29,0.19,virginica
5.7,3.78,5.36,1.01,virginica
5.04,3.18,3.33,1.04,virginica
4.51,3.03,1.69,0.36,virginica
5.96,3.01,4.62,0.91,virginica
5.19,2.05,4.55,1.46,versicolor
4.66,3.3,3.81,1.03,virginica
5.28,3.05,3.34,0.27,setosa
4.93,3.17,5.14,2.92,virginica
7.15,2.72,2.22,1.36,versicolor
6.51,2.85,2.54,1.27,setosa
5.79,2.84,2.19,0.54,virginica
6.98,3.41,3.83,1.36,virginica
5.86,2.85,2.07,1.1,setosa
5.11,3.83,2.67,0.07,virginica
7.02,3.17,2.64,0.56,versicolor
6.23,2.49,3.31,1.68,virginica
4.97,2.95,1.47,2.37,versicolor
5.65,2.74,3.83,1.42,virginica
5.1,2.12,5.57,1.86,setosa
4.69,3.64,3.9,1.11,versicolor
6.54,3.28,6.01,1.15,virginica
7.33,3.21,5.7,1.85,virginica
4.68,3.07,4.87,2.2,setosa
6.25,2.45,3.81,1.98,setosa
5.28,2.81,3.73,0.56,versicolor
5.41,3.34,4.85,1.16,versicolor
5.33,2.58,3.11,1.37,versicolor
5.11,1.99,0.88,1.04,virginica
5.84,2.91,4.44,1.43,virginica
5.14,2.94,2.0,1.69,versicolor
6.02,3.05,2.26,1.8,virginica
5.76,3.29,3.7,2.21,setosa
5.61,3.26,3.56,1.0,virginica
5.07,3.1,1.58,0.38,versicolor
5.34,3.48,3.95,1.41,virginica
6.4,2.39,5.15,2.33,setosa
6.2,3.2,2.01,0.91,versicolor
5.02,3.25,5.61,1.61,versicolor
5.88,2.5,1.36,1.62,versicolor
6.4,2.4,6.88,1.31,versicolor
4.46,2.7,3.08,1.2,virginica
6.23,2.74,3.92,0.65,setosa
5.27,3.3,0.86,-0.17,virginica
6.26,2.75,3.61,0.53,virginica
5.19,2.66,4.04,0.97,versicolor
4.36,2.76,3.57,1.86,setosa
4.5,3.45,2.86,1.14,virginica
5.84,3.01,2.28,0.89,setosa
6.01,2.93,5.4,0.67,setosa
5.08,2.96,3.75,1.59,setosa
6.31,3.52,6.01,2.02,setosa
4.47,2.7,2.91,1.84,virginica
5.75,3.53,3.05,1.56,setosa
4.83,3.08,4.92,0.31,virginica
5.28,2.94,1.27,0.99,setosa
5.84,4.0,1.88,2.37,setosa
5.11,2.58,5.35,1.87,virginica
5.49,2.86,1.94,0.28,versicolor
6.61,2.51,0.97,1.17,virginica
5.34,3.38,6.5,1.42,setosa
6.47,3.68,1.61,0.74,virginica
4.9,3.67,3.98,-0.19,setosa
6.22,3.49,3.8,1.26,virginica
6.95,2.92,-0.52,0.73,virginica
3.82,2.85,3.3,0.73,virginica
5.16,2.33,4.37,0.99,versicolor
6.26,3.81,4.23,1.12,virginica
5.64,3.19,5.06,1.19,virginica
6.1,2.8,3.12,0.67,versicolor
5.32,3.53,4.77,1.07,versicolor
5.87,2.61,2.67,0.15,setosa
5.68,3.16,1.58,1.39,setosa
6.73,2.93,1.75,-0.51,virginica
6.0,3.26,1.51,1.03,setosa
6.07,2.97,5.21,1.75,virginica
5.47,2.42,1.43,0.56,versicolor
5.41,3.03,4.11,1.63,versicolor
5.45,3.42,3.3,1.89,virginica
6.12,2.99,3.55,-0.78,setosa
5.46,3.31,5.75,1.11,setosa
6.03,2.58,3.04,-0.53,setosa
7.46,2.99,4.62,1.13,virginica
6.5,2.75,3.76,1.2,setosa
5.54,3.3,3.47,-0.29,versicolor
6.76,3.01,7.15,2.35,versicolor
5.47,3.28,1.54,1.37,versicolor
4.17,3.44,5.63,0.69,versicolor
4.99,3.28,4.68,2.08,versicolor
4.3,3.11,2.98,0.12,versicolor
5.52,2.6,6.14,0.46,versicolor
5.81,3.0,0.93,-0.18,versicolor
7.14,2.79,2.92,2.28,versicolor
6.06,2.86,1.89,1.4,virginica
5.62,2.85,4.32,1.6,virginica
6.46,2.61,2.03,1.38,versicolor
4.03,2.22,4.35,1.54,versicolor
5.99,2.73,3.42,1.25,versicolor
6.42,3.08,2.98,1.36,setosa
4.62,2.46,4.28,1.26,virginica
6.72,3.01,3.3,0.83,versicolor
6.07,3.76,2.07,1.17,virginica
5.47,3.41,7.9,1.36,versicolor
6.31,3.66,2.97,1.27,setosa
7.62,3.16,0.37,0.31,versicolor
5.95,3.47,2.44,0.39,virginica
6.0,2.71,1.8,1.85,virginica
5.43,2.74,4.94,1.02,virginica
5.12,1.9,4.18,1.55,virginica
6.46,3.47,4.3,0.54,versicolor
5.12,3.62,3.14,0.32,setosa
5.86,2.78,3.28,0.69,setosa
5.42,2.9,3.14,1.07,versicolor
6.18,2.7,3.58,0.8,versicolor
6.07,3.15,4.95,1.98,virginica
6.63,3.45,4.2,1.31,versicolor
5.39,2.3,4.45,2.31,setosa
5.58,3.16,4.45,1.44,versicolor
5.02,2.89,5.03,-0.25,versicolor
5.44,3.05,4.13,1.83,setosa
6.1,3.18,4.24,0.29,setosa
6.41,2.92,5.48,1.34,versicolor
5.06,2.96,2.7,0.74,virginica
6.5,2.91,2.42,2.49,virginica
6.88,3.39,1.92,2.06,virginica
6.13,3.17,3.97,0.75,setosa
7.3,3.09,0.92,1.12,setosa
5.18,2.49,4.39,1.35,virginica
4.8,2.85,3.54,1.72,versicolor
4.38,3.36,5.4,1.22,versicolor
7.0,3.02,2.69,0.59,versicolor
6.32,3.26,3.4,0.77,setosa
5.76,3.71,5.38,1.2,setosa
6.02,3.42,5.77,1.94,virginica
4.9,3.04,2.68,1.46,versicolor
7.76,2.8,3.97,0.74,setosa
5.9,1.98,4.14,1.59,setosa
5.89,2.93,4.26,0.97,virginica
6.38,2.87,3.31,1.73,versicolor
6.18,3.16,5.62,2.72,setosa
5.98,2.94,0.87,0.98,setosa
5.17,2.87,3.07,1.68,setosa
6.18,2.29,4.37,0.75,setosa
7.31,2.62,4.39,1.13,versicolor
6.88,3.19,5.73,1.22,virginica
7.07,3.69,5.5,1.08,versicolor
5.39,2.96,3.27,2.68,virginica
5.01,3.13,5.65,1.02,setosa
5.7,3.38,2.63,1.55,versicolor
5.84,2.68,5.1,0.04,virginica
6.68,3.15,6.42,1.46,virginica
4.45,2.7,5.52,1.89,setosa
7.02,3.35,3.86,0.88,virginica
5.67,3.06,3.2,-0.31,virginica
5.46,3.12,1.41,1.18,virginica
4.99,2.69,4.17,1.21,setosa
4.48,3.28,2.03,1.63,versicolor
6.46,3.83,2.51,2.41,setosa
5.86,2.6,1.91,0.97,virginica
4.77,2.86,3.01,0.69,virginica
4.76,3.09,3.66,0.5,versicolor
5.53,3.31,4.11,1.32,virginica
7.14,2.78,2.8,1.49,versicolor
5.59,1.87,5.3,0.87,virginica
4.6,3.54,3.39,1.67,virginica
5.6,3.3,2.52,1.48,setosa
5.58,2.3,4.04,1.23,setosa
3.64,2.76,6.65,0.66,versicolor
5.76,3.63,4.2,0.91,setosa
5.62,3.58,3.16,-0.26,versicolor
6.36,3.38,1.41,1.34,setosa
7.28,2.93,3.37,1.22,versicolor
6.7,3.03,4.05,1.31,virginica
5.58,2.95,3.12,1.5,versicolor
4.91,3.45,1.2,1.43,setosa
7.86,2.65,2.42,1.13,versicolor
5.85,2.68,5.88,1.23,setosa
5.81,3.4,5.85,0.36,virginica
5.78,2.98,2.37,0.85,setosa
5.96,3.55,4.71,1.23,virginica
5.68,2.73,1.93,0.76,virginica
5.34,2.98,5.81,1.72,setosa
5.36,2.63,4.07,0.8,virginica
5.77,3.0,5.12,1.33,setosa
5.37,2.41,1.13,1.27,versicolor
5.23,2.8,4.72,1.65,virginica
5.89,2.43,3.69,1.74,versicolor
5.6,3.28,4.98,1.62,versicolor
7.0,3.29,5.07,-0.06,setosa
3.68,2.31,3.8,1.92,setosa
6.67,3.53,2.8,2.12,virginica
6.8,4.0,4.87,0.91,setosa
4.14,3.02,3.61,1.34,versicolor
5.53,2.74,2.39,0.67,versicolor
5.5,4.13,2.32,0.03,versicolor
4.67,2.47,1.48,0.76,virginica
5.18,3.01,2.93,0.88,setosa
4.91,3.07,5.35,0.99,versicolor
7.2,3.54,3.97,0.62,virginica
6.55,3.14,2.91,0.76,setosa
6.82,2.8,4.91,1.19,setosa
6.38,2.62,2.45,0.74,versicolor
4.9,2.86,3.84,1.53,virginica
5.38,2.6,3.43,1.61,versicolor
6.19,3.02,4.87,2.63,versicolor
